Potential (V),Capacity (Ah),Current (A)
3.56180579,0.0890713362,0.0479938457
3.56203336,0.0891389276,0.0479940775
3.56225391,0.089206519,0.0479938365
3.56247545,0.0892741104,0.0479939128
3.56270584,0.0893417019,0.0479936596
3.56291997,0.0894092933,0.0479938792
3.56314754,0.0894768847,0.0479940958
3.56336282,0.0895444761,0.0479938762
3.56358184,0.0896120675,0.0479940226
3.56380963,0.089679659,0.0479936047
3.56402323,0.0897472504,0.0479939311
3.56424874,0.0898148419,0.0479941233
3.56446387,0.0898824333,0.047993806
3.56468105,0.0899500247,0.0479940287
3.56490717,0.0900176161,0.0479938365
3.56511962,0.0900852076,0.0479938792
3.56534108,0.090152799,0.0479941629
3.56555552,0.0902203904,0.0479938304
3.56576859,0.0902879818,0.0479939799
3.565996,0.0903555733,0.0479937176
3.56620258,0.0904231647,0.0479938182
3.56642541,0.0904907561,0.0479941568
3.56663863,0.0905583475,0.0479937908
3.56685078,0.090625939,0.0479940104
3.56707255,0.0906935304,0.0479936352
3.56728011,0.0907611219,0.0479938426
3.56750013,0.0908287133,0.0479940897
3.56771212,0.0908963047,0.0479939128
3.56792251,0.0909638961,0.0479939707
3.56814298,0.0910314876,0.0479936108
3.5683449,0.091099079,0.0479939372
3.56856484,0.0911666704,0.0479942239
3.568775,0.0912342618,0.047993806
3.56898318,0.0913018532,0.0479939311
3.56920037,0.0913694446,0.0479936291
3.56940511,0.091437036,0.0479939829
3.56962161,0.0915046275,0.0479942392
3.5698265,0.0915722189,0.0479938823
3.570034,0.0916398103,0.0479940043
3.57024927,0.0917074017,0.0479937237
3.57045089,0.0917749932,0.0479938213
3.57066479,0.0918425846,0.0479941355
3.57086862,0.091910176,0.0479938792
3.57107443,0.0919777675,0.0479939951
3.57129047,0.0920453589,0.0479936871
3.57148812,0.0921129503,0.0479939097
3.57170057,0.0921805417,0.0479941355
3.57190539,0.0922481331,0.0479938457
3.57210968,0.0923157246,0.0479939494
3.57232221,0.092383316,0.0479937115
3.57252061,0.0924509074,0.0479939768
3.57273024,0.0925184988,0.0479941568
3.57292995,0.0925860903,0.0479938487
3.57313263,0.0926536817,0.0479940256
3.57334531,0.0927212731,0.047993742
3.57354288,0.0927888645,0.0479939158
3.57375228,0.0928564559,0.0479942239
3.57395122,0.0929240473,0.0479937969
3.57415284,0.0929916388,0.0479939951
3.57436331,0.0930592301,0.0479936871
3.57455668,0.0931268216,0.0479939128
